,Gold,Silver,Palladium,Copper,Zinc,SnP,Kospi,Swiss,Singapore,DAX,WIG20,Bovespa,profit
2012-03-01,0.35,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.35,91.3
2012-06-01,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.15,99.57
2012-09-01,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.15,97.51
2012-12-01,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.15,93.36
2013-03-01,0.35,0.0,0.0,0.35,0.0,0.15,0.0,0.05,0.05,0.0,0.05,0.0,82.09
2013-06-01,0.35,0.0,0.0,0.05,0.0,0.35,0.0,0.15,0.05,0.0,0.05,0.0,87.34
2013-09-01,0.35,0.0,0.0,0.05,0.0,0.35,0.0,0.15,0.05,0.0,0.05,0.0,87.92
2013-12-01,0.35,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.05,0.35,0.0,0.05,89.59
2014-03-01,0.35,0.0,0.0,0.05,0.0,0.35,0.0,0.15,0.05,0.0,0.05,0.0,92.59
2014-06-01,0.35,0.0,0.0,0.05,0.0,0.35,0.0,0.15,0.05,0.0,0.05,0.0,90.55
2014-09-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,91.46
2014-12-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,91.85
2015-03-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,90.45
2015-06-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,84.78
2015-09-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,86.35
2015-12-01,0.05,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.15,0.0,0.05,0.0,83.81
2016-03-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,85.9
2016-06-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,87.29
2016-09-01,0.15,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.05,0.0,0.05,0.0,88.16
2016-12-01,0.05,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.15,0.0,0.05,0.0,93.66
2017-03-01,0.05,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.15,0.0,0.05,0.0,96.52
2017-06-01,0.05,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.15,0.0,0.05,0.0,99.78
2017-09-01,0.05,0.0,0.0,0.05,0.0,0.35,0.0,0.35,0.15,0.0,0.05,0.0,99.78
